Brand,Rating,Processor,Display,OS,RAMSize,RAMType,Storage_HDD,Storage_SSD,MRP
ASUS,4.9,AMD Ryzen 9 Octa Core Processor,39.62,Windows,16,DDR4 ,0,1000,150990.0
Infinix,4.3,Intel Core i3 Processor,35.56,Windows,8,LPDDR4X ,0,512,32990.0
MSI,4.5,AMD Ryzen 5 Hexa Core Processor,35.56,Windows,8,DDR4 ,0,512,43990.0
Lenovo,4.5,AMD Ryzen 7 Octa Core Processor,39.62,Windows,8,DDR4 ,0,512,73490.0
ASUS,4.3,AMD Ryzen 9 Octa Core Processor,39.62,Windows,16,DDR5 ,0,1000,194990.0
acer,3.9,AMD Ryzen 3 Dual Core Processor,35.56,Windows,8,DDR4 ,0,256,25990.0
ASUS,4.4,Intel Core i9 Processor,39.62,Windows,16,DDR4 ,0,1000,122990.0
acer,4.3,Intel Core i5 Processor,39.62,Windows,16,DDR4 ,0,512,68990.0
acer,4.3,Intel Core i5 Processor,39.62,Windows,8,DDR4 ,0,512,59990.0
Lenovo,4.2,Intel Core i3 Processor,35.56,Windows,8,DDR4 ,0,256,36990.0
Lenovo,4.2,Intel Core i3 Processor,39.62,Windows,8,DDR4 ,0,512,39990.0
acer,4.4,AMD Ryzen 5 Quad Core Processor,39.62,Windows,8,DDR4 ,0,512,39990.0
RedmiBook,4.1,Intel Core i5 Processor,39.62,Windows,8,DDR4 ,0,512,39990.0
ASUS,4.3,AMD Ryzen 9 Octa Core Processor,39.62,Windows,16,DDR5 ,0,1000,196990.0
Lenovo,4.0,Intel Celeron Dual Core Processor,35.56,Windows,4,DDR4 ,0,256,25950.0
realme,4.2,Intel Core i5 Processor,35.56,Windows,16,LPDDR4X ,0,512,64999.0
HP,4.4,AMD Ryzen 5 Hexa Core Processor,39.62,Windows,8,DDR4 ,0,512,60990.0
ASUS,4.3,Intel Core i3 Processor,39.62,Windows,8,DDR4 ,0,512,36990.0
Lenovo,4.2,AMD Ryzen 5 Quad Core Processor,39.62,Windows,8,DDR4 ,0,512,38705.0
ASUS,4.6,AMD Ryzen 7 Octa Core Processor,39.62,Windows,16,DDR4 ,0,1000,85990.0
SAMSUNG,4.6,Intel Core i5 Processor,39.62,Windows,8,LPDDR4X ,0,256,59990.0
APPLE,4.8,Apple M1 Pro Processor,41.15,Mac,16,Unified Memory ,0,512,222990.0
